cluster,count,Farmer_Need
3,6256573,General Weather Forecast
18,3060474,General Weather Forecast
28,1154643,General Weather Forecast
27,1113802,General Weather Forecast
58,1091123,General Weather Forecast
10,559282,General Weather Forecast
54,349023,District Weather Forecast
15,240909,General Weather Forecast
20,170137,Rain Forecast
35,163029,Current Weather Condition
36,102497,District Weather Forecast
41,98205,District Weather Forecast
14,98136,General Weather Forecast
8,73673,District Weather Forecast
30,68145,General Weather Forecast
9,64584,District Weather Forecast
12,63738,District Weather Forecast
24,49891,Short Term Forecast
40,49767,District Weather Forecast
52,43465,District Weather Forecast
13,37615,General Weather Forecast
17,36092,District Weather Forecast
7,35614,District Weather Forecast
26,31027,District Weather Forecast
2,28885,Rain Forecast
1,28883,District Weather Forecast
4,27307,Rain Forecast
53,26387,District Weather Forecast
32,25943,District Weather Forecast
47,25390,General Weather Forecast
22,25095,District Weather Forecast
45,24712,District Weather Forecast
48,23498,District Weather Forecast
56,21940,District Weather Forecast
0,20614,District Weather Forecast
6,20192,District Weather Forecast
42,18640,Rain Forecast
29,17649,Current Weather Condition
33,16390,District Weather Forecast
37,14970,District Weather Forecast
50,14767,District Weather Forecast
31,13905,District Weather Forecast
39,13282,District Weather Forecast
21,13258,District Weather Forecast
25,13236,District Weather Forecast
46,11814,District Weather Forecast
5,11489,Weather Impact on Crops
55,10766,District Weather Forecast
49,10703,District Weather Forecast
51,10166,Weather Impact on Crops
44,9085,District Weather Forecast
57,9018,District Weather Forecast
34,8898,District Weather Forecast
38,7755,District Weather Forecast
23,7193,Short Term Forecast
19,3664,Rain Forecast
43,2685,District Weather Forecast
11,177,Current Weather Condition
16,89,District Weather Forecast
,15549889,
